name,email,gender,dob,password,eograde_id
Aman Shah,aman@gmail.com,M,2005-01-01,user123,12
Ankit Pandey,ankit@gmail.com,M,2005-03-03,user123,12
Charu Mishra,charu@yahoo.com,F,2006-02-01,user123,12
David Thomas,david@gmail.com,M,2007-01-01,user123,11
Samual Gazi,samual@gmail.com,M,2007-03-02,user123,11
Priyanka Batham,priyanka@gmail.com,F,2009-05-02,user123,10
Ishan Goeal,ishan@gmail.com,M,2009-02-09,user123,10
Rahul Bajaj,rahul@gmail.com,M,2009-01-08,user123,10
Jamesh Riyan,jamesh@gmail.com,M,2011-02-04,user123,9
Reema Thakur,reema@gmail.com,F,2012-04-02,user123,8
